DT_EOL|ID|TransactionID|CreateDate|ModifyDate|Deleted|No|Currency|Name|Market|SumInclVAT|SumExclVAT|ItemsCount|SumInclVATCm|SumVATOnly|SumVATOnlyCm|SumExclVATCm|Discount
DT_EOL|1cb4ff8b-a8cf-470d-9d55-6841d8c927f4|1184923|28.2.2017 0:00:00|3.4.2017 11:11:07|0|111739587|EUR|Opravný daňový doklad k fa 121708714 placeno 1/3|sk|518,7800|432,3200|1|19,2000|86,4600|3,2000|16,0000|0,0000
DT_EOL|8b4a0d76-3a64-42a3-b2e0-3b3b8772ca63|721228|28.2.2017 0:00:00|28.4.2017 20:25:50|0|111739599|CZK|VRATKA - CV Opravný daňový doklad k fa 1115136540 placeno 3/3|cz|2478,0000|2047,8500|2|2478,0000|430,1500|430,1500|2047,8500|0,0000
DT_EOL|46b68dda-4895-4e2b-a06d-7671b8110030|741148|28.2.2017 0:00:00|28.4.2017 20:25:50|0|111739602|CZK|VRATKA - CV Opravný daňový doklad k fa 1115149455|cz|2378,0000|1965,2100|2|2378,0000|412,7900|412,7900|1965,2100|0,0000
DT_EOL|e014a2c2-a42d-482d-ac42-42479e8a3e26|997378|28.2.2017 0:00:00|28.4.2017 20:25:50|0|111739606|CZK|VRATKA - CV Opravný daňový doklad k fa 1116141762|cz|3990,0000|3297,3400|1|3990,0000|692,6600|692,6600|3297,3400|0,0000
DT_EOL|3c2756a1-b750-42e9-8c64-b969e1d62c8f|1187651|28.2.2017 0:00:00|3.4.2017 11:11:07|0|121711693|EUR|VRATKA-CV-Opravný daňový doklad k fa 121709045 placeno 1/3|sk|1051,0800|875,9900|1|38,9000|175,0900|6,4800|32,4200|0,0000
DT_EOL|ceeb38cb-3820-4943-bbcd-a11d5133a01a|898598|28.2.2017 0:00:00|28.4.2017 20:25:50|0|111739761|CZK|VRATKA - CV - Paní od Července nekomunikuje máme to tu 7 měsíců psáno paní 3x  Opravný daňový doklad k fa 111689835|cz|1254,0000|1140,0100|1|1254,0000|113,9900|113,9900|1140,0100|0,0000
DT_EOL|27f6c2bb-8dea-4827-bd3c-032dfbae5b1e|1193734|28.2.2017 0:00:00|3.4.2017 11:11:07|0|121711694|EUR|VRATKA-CV-Opravný daňový doklad k fa 121710222 placeno 1/3|sk|940,3000|783,5800|1|34,8000|156,7200|5,8000|29,0000|0,0000
DT_EOL|0170d0b2-71b5-4086-a2e1-f3a47f1ef445|1194030|28.2.2017 0:00:00|3.4.2017 11:11:07|0|121711697|EUR|Opravný daňový doklad k fa 121710987 placeno 1/3|sk|248,3100|206,9700|1|9,1900|41,3400|1,5300|7,6600|0,0000
DT_EOL|8dcfb592-16ad-4892-8655-781fd48331ab|1151753|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717767|PLN|VRATKA - CV - Opravný daňový doklad k fa 131710218  (placeno mBank 9.3.17)|pl|1160,6400|1041,4300|5|185,9700|119,2100|19,1000|166,8700|0,0000
DT_EOL|e8434a36-055e-4828-8d7b-a2309490d31b|1174780|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717773|PLN|VRATKA - CV - Opravný daňový doklad k fa 131711970  (placeno mBank 9.3.17)|pl|1427,6200|1245,4100|8|225,9600|182,2100|28,8400|197,1200|0,0000
DT_EOL|5eb47e09-58b5-4d0f-a35d-ab77ed65238c|1183394|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717781|PLN|VRATKA - CV - Opravný daňový doklad k fa 131712832  (placeno mBank 9.3.17)|pl|626,2700|509,1700|1|99,9000|117,1000|18,6800|81,2200|0,0000
DT_EOL|534d4c6e-88cf-4b72-99eb-1d7ef466e729|1186002|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717785|PLN|VRATKA - CV - Opravný daňový doklad k fa 131713272 (placeno mBank 9.3.17)|pl|1500,5500|1389,4000|1|239,3600|111,1500|17,7300|221,6300|0,0000
DT_EOL|8bd373bd-26c0-4c81-80a9-3fe17598aeea|1194455|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717786|PLN|Nedodano k obj. Opravný daňový doklad k fa 131715695  (placeno mBank 9.3.17)|pl|197,6300|160,6600|1|31,4900|36,9700|5,8900|25,6000|0,0000
DT_EOL|3c20927d-336e-404f-a68b-496232572315|1149349|28.2.2017 0:00:00|11.5.2017 14:22:28|0|131717804|PLN|VRATKA - BD - Opravný daňový doklad k fa 131703928  (placeno mBank 9.3.17)|pl|1901,1000|1545,6000|3|307,9200|355,5000|57,5800|250,3400|0,0000
DT_EOL|5f11cf7c-118d-457a-b207-c38f08d451c2|1189567|28.2.2017 0:00:00|11.5.2017 13:30:18|0|131717817|PLN|VRATKA - BD - Opravný daňový doklad k fa 131714444|pl|1180,7000|1079,8800|5|188,6700|100,8200|16,1100|172,5600|0,0000
DT_EOL|7f3b4769-3c1a-4591-9bcb-a63720d43f32|928881|28.2.2017 0:00:00|7.4.2017 9:04:37|0|111740089|CZK|VRATKA-CV-Reklamace bazarek -Opravný daňový doklad k fa 1116110589|cz|2439,0000|2015,5900|2|2439,0000|423,4100|423,4100|2015,5900|0,0000
DT_EOL|65bd4369-d9e6-469b-a16d-3a6dc85e7d68|1191420|28.2.2017 0:00:00|3.4.2017 11:11:07|0|121711755|EUR|VRATKA-CV-Opravný daňový doklad k fa 121709843 placeno 1/3|sk|1733,3300|1444,4900|3|64,1500|288,8400|10,6900|53,4600|0,0000
DT_EOL|934cefba-d81f-4a69-9c4a-d17cfe58235c|1189648|28.2.2017 0:00:00|3.4.2017 11:11:07|0|121711756|EUR|VRATKA-CV-Opravný daňový doklad k fa 121709519 placeno 1/3|sk|229,4000|191,0300|1|8,4900|38,3700|1,4200|7,0700|0,0000
DT_EOL|932b1868-d7de-4813-b63d-f63d84006e5d|1184327|1.3.2017 0:00:00|3.4.2017 11:11:07|0|121711931|EUR|VRATKA_CV-Opravný daňový doklad k fa 121709238 placeno 1/3|sk|1033,5200|861,1300|3|38,2500|172,3900|6,3800|31,8700|0,0000
DT_EOL|20765f5f-59b8-48b0-bef3-a10b4c51578b|1170575|1.3.2017 0:00:00|3.4.2017 11:11:07|0|121711933|EUR|VRATKA-CV-Opravný daňový doklad k fa 121706278 placeno 1/3|sk|296,9500|296,9500|1|10,9900|0,0000|0,0000|10,9900|0,0000
DT_EOL|8a965e8c-ca3f-41cc-94ba-fd512e0f3547|1047977|1.3.2017 0:00:00|28.4.2017 20:25:50|0|111740410|CZK|VRATKA - CV Opravný daňový doklad k fa 1116169810|cz|999,0000|825,5700|1|999,0000|173,4300|173,4300|825,5700|0,0000
DT_EOL|8847ac3f-830a-4a05-846d-e77dafe5e763|1191604|1.3.2017 0:00:00|11.5.2017 14:22:28|0|131718273|PLN|VRATKA - CV - Opravný daňový doklad k fa 131714498  (placeno mBank 9.3.17)|pl|210,8900|171,4600|1|33,7000|39,4300|6,3000|27,4000|0,0000
DT_EOL|ed2115d6-a8e2-4e30-aa39-fd77b9fcac6e|1194829|1.3.2017 0:00:00|3.4.2017 11:16:30|0|121711937|EUR|VRATKA-CV-Opravný daňový doklad k fa 121710556 placeno 2/3|sk|1883,2900|1883,2900|1|69,7000|0,0000|0,0000|69,7000|0,0000
DT_EOL|6d633647-b1f0-47c4-83d0-d5b1309f863b|1195073|1.3.2017 0:00:00|3.4.2017 11:16:30|0|121711940|EUR|VRATKA-CV-Opravný daňový doklad k fa 121710461 placeno 2/3|sk|3050,5600|2542,0400|2|112,9000|508,5200|18,8200|94,0800|0,0000
DT_EOL|c44a66f8-5046-448d-939d-2acc7f860c85|1043953|2.3.2017 0:00:00|3.4.2017 10:12:38|0|111740922|CZK|VRATKA-Opravný daňový doklad k fa 1116166863|cz|1049,0000|866,9300|5|1049,0000|182,0700|182,0700|866,9300|0,0000
DT_EOL|103bc97c-da91-4e1c-8199-0115fc63cee4|1189700|2.3.2017 0:00:00|12.4.2017 15:53:51|0|111741063|CZK|VRATKA-CV-Opravný daňový doklad k fa 111733109|cz|25,0000|20,6600|2|25,0000|4,3400|4,3400|20,6600|0,0000
